will_default_next_month,limit_bal,age,pay_0_months_delayed,pay_2_months_delayed,pay_3_months_delayed,pay_4_months_delayed,pay_5_months_delayed,pay_6_months_delayed,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,is_male,education_graduate,education_bachelors,education_hs,martial_status_married,martial_status_single,martial_status_other,pay_0_is_paid_duly,pay_0_was_refunded,pay_2_is_paid_duly,pay_2_was_refunded,pay_3_is_paid_duly,pay_3_was_refunded,pay_4_is_paid_duly,pay_4_was_refunded,pay_5_is_paid_duly,pay_5_was_refunded,pay_6_is_paid_duly,pay_6_was_refunded
1,660,24,2,2,0,0,0,0,130,100,20,0,0,0,0,20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1
1,3940,26,0,2,0,0,0,2,90,60,90,110,110,110,0,30,30,30,0,70,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,2950,34,0,0,0,0,0,0,960,460,440,470,490,510,50,50,30,30,30,160,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1640,37,0,0,0,0,0,0,1540,1580,1620,930,950,970,70,70,40,40,40,30,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1640,57,0,0,0,0,0,0,280,190,1180,690,630,630,70,1200,330,300,20,20,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,1640,37,0,0,0,0,0,0,2110,1870,1890,640,640,660,80,60,20,30,30,30,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16400,29,0,0,0,0,0,0,12070,13520,14600,17800,15850,15550,1800,1310,1250,660,450,450,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3280,23,0,0,0,0,0,0,390,10,20,10,-10,20,10,20,0,20,60,50,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
0,4590,28,0,0,2,0,0,0,370,460,400,400,390,120,110,0,10,30,30,30,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,660,35,0,0,0,0,0,0,0,0,0,0,430,460,0,0,0,430,40,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
0,6560,34,0,0,2,0,0,0,360,320,180,80,60,120,80,0,0,10,120,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,8530,51,0,0,0,0,0,2,400,710,330,280,730,450,720,330,280,730,0,120,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0,20670,41,0,0,0,0,0,0,400,210,210,210,210,90,30,210,210,210,90,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0
1,2300,30,1,2,2,0,0,2,2160,2210,2160,2190,1190,1210,100,0,100,100,50,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8200,29,0,0,0,0,0,0,2330,2200,2090,1960,1870,1820,100,100,100,100,100,100,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1640,23,1,2,0,0,0,0,1660,960,920,940,970,990,0,50,40,40,40,40,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,660,24,0,0,2,2,2,2,500,590,570,600,590,630,100,0,50,0,50,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,10500,49,0,0,0,0,0,0,8310,8090,6390,2300,190,6420,340,330,2490,660,6420,1640,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
0,11810,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1
0,5910,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1
0,4270,39,0,0,0,0,0,0,1260,910,800,680,390,30,100,50,30,70,30,1110,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3940,39,0,0,0,0,0,0,10,10,10,0,20,10,10,10,0,20,10,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
1,2300,26,2,0,0,2,2,2,1350,1390,1480,1440,1540,1510,70,120,0,120,0,60,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14760,40,0,0,0,0,0,0,180,640,50,20,0,0,640,50,20,0,0,40,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
0,2950,23,0,0,0,0,0,0,160,230,0,180,210,270,190,0,180,40,70,70,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1640,23,0,0,0,0,0,0,1560,1370,1180,950,980,990,60,50,30,50,30,30,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1970,27,1,0,0,0,0,0,0,-10,10,0,0,-10,0,30,0,20,0,30,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0
0,1640,30,0,0,0,0,0,0,740,530,560,590,620,640,40,40,30,50,30,30,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1640,47,0,0,0,0,0,0,20,110,110,70,1000,10,110,110,70,1000,10,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
0,1640,26,0,0,0,0,0,0,500,540,570,590,600,370,50,50,30,30,50,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7550,27,0,0,0,0,0,0,550,570,440,500,470,1210,570,440,500,470,1220,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,1640,33,2,0,0,0,0,0,1000,970,730,750,760,780,60,50,30,30,30,20,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3280,32,0,0,0,0,0,0,3050,2760,2720,2660,2580,2480,100,120,110,110,100,80,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16400,54,0,0,0,0,0,0,360,140,750,250,2340,290,140,750,250,2340,30,1690,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
0,16400,58,0,0,0,0,0,0,450,160,1020,100,0,170,160,1020,100,0,170,30,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
0,5250,30,0,0,0,0,0,0,990,0,-20,-30,-50,-60,0,10,10,20,30,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0
0,9190,40,0,0,0,0,0,0,6120,5950,5920,5590,5710,5820,260,260,210,210,210,220,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1970,22,0,0,0,0,0,0,490,320,360,200,-930,610,50,50,70,0,1560,20,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1640,25,1,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1
0,9190,31,0,0,2,0,0,0,20,300,150,330,590,310,300,0,330,260,310,30,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
0,11810,33,0,0,0,0,0,0,7170,7260,6790,20630,6430,5880,330,230,200,6200,920,130,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2300,25,0,0,0,0,0,0,2220,2200,2100,2090,2120,2160,100,150,130,80,90,80,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,330,22,0,0,0,0,0,0,60,100,200,120,120,150,50,100,30,10,30,20,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4590,37,0,0,0,0,0,0,1950,2020,2060,2110,2200,2290,100,100,100,130,130,100,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1310,30,0,0,0,2,0,0,620,700,850,830,870,960,100,160,0,70,100,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6890,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1
1,660,22,0,0,2,0,0,0,460,540,520,540,550,0,100,0,550,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1,4920,46,0,0,0,0,0,0,150,100,40,40,0,0,30,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0,12470,32,0,0,0,0,0,0,730,710,500,1050,390,390,710,500,810,390,390,270,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,660,24,0,0,0,0,0,0,570,610,640,650,670,660,40,40,20,30,30,40,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2300,42,1,2,2,2,2,0,1220,1190,1260,1290,1270,1290,0,100,70,0,50,50,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3280,43,0,0,0,0,0,0,2020,1680,1440,1300,1170,1090,70,50,50,70,50,30,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,10170,49,0,0,0,0,0,0,440,260,250,370,120,20,260,250,370,120,20,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
0,5910,25,1,2,0,0,0,0,1360,1370,1400,1430,1460,1490,40,70,60,60,60,50,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4920,29,2,0,0,0,0,0,1520,1150,1030,870,690,540,50,60,30,50,70,160,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,16400,45,0,0,0,0,0,0,60,120,10,0,0,80,120,10,0,0,80,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
0,5910,34,0,0,0,0,0,0,540,520,280,230,-20,270,280,50,250,20,300,70,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
0,5910,34,0,0,0,0,0,0,5770,5690,5650,5530,4340,4260,270,240,170,160,160,120,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6560,34,0,3,2,2,2,2,50,40,30,40,20,50,0,0,20,0,40,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0,13120,29,0,0,0,0,0,0,13130,13090,13260,11820,11700,11950,560,490,980,390,390,750,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16400,28,0,0,0,0,0,0,750,780,620,490,450,510,50,40,30,30,70,70,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2300,39,0,0,0,0,0,0,2320,2360,2290,540,460,30,130,70,30,70,100,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1640,29,2,2,2,2,2,2,820,800,870,850,910,930,0,90,0,70,40,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1640,46,0,0,0,0,0,0,940,960,0,0,0,0,30,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,4270,51,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,80,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0
1,6560,57,0,0,0,0,2,2,5000,4880,4730,270,270,260,0,0,270,10,0,30,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0
1,330,56,2,2,2,0,0,0,70,140,130,130,140,140,80,0,0,10,10,10,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,6890,30,2,0,0,0,0,0,10,10,40,70,10,140,10,40,70,10,140,30,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
0,4270,29,1,0,0,0,2,0,-10,-320,-320,340,330,240,0,0,660,0,240,460,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0
0,660,22,2,0,0,0,0,0,610,560,570,590,370,200,0,40,30,20,30,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
