header,is_outcome,is_group_attribute,type
will_default_next_month,TRUE,,boolean
limit_bal,FALSE,,numeric
age,FALSE,,numeric
pay_0_months_delayed,FALSE,,numeric
pay_2_months_delayed,FALSE,,numeric
pay_3_months_delayed,FALSE,,numeric
pay_4_months_delayed,FALSE,,numeric
pay_5_months_delayed,FALSE,,numeric
pay_6_months_delayed,FALSE,,numeric
bill_amt1,FALSE,,numeric
bill_amt2,FALSE,,numeric
bill_amt3,FALSE,,numeric
bill_amt4,FALSE,,numeric
bill_amt5,FALSE,,numeric
bill_amt6,FALSE,,numeric
pay_amt1,FALSE,,numeric
pay_amt2,FALSE,,numeric
pay_amt3,FALSE,,numeric
pay_amt4,FALSE,,numeric
pay_amt5,FALSE,,numeric
pay_amt6,FALSE,,numeric
is_male,FALSE,,boolean
education_graduate,FALSE,,boolean
education_bachelors,FALSE,,boolean
education_hs,FALSE,,boolean
martial_status_married,FALSE,,boolean
martial_status_single,FALSE,,boolean
martial_status_other,FALSE,,boolean
pay_0_is_paid_duly,FALSE,,boolean
pay_0_was_refunded,FALSE,,boolean
pay_2_is_paid_duly,FALSE,,boolean
pay_2_was_refunded,FALSE,,boolean
pay_3_is_paid_duly,FALSE,,boolean
pay_3_was_refunded,FALSE,,boolean
pay_4_is_paid_duly,FALSE,,boolean
pay_4_was_refunded,FALSE,,boolean
pay_5_is_paid_duly,FALSE,,boolean
pay_5_was_refunded,FALSE,,boolean
pay_6_is_paid_duly,FALSE,,boolean
pay_6_was_refunded,FALSE,,boolean
