header,is_outcome,is_group_attribute,type
RiskPerformance,TRUE,,boolean
ExternalRiskEstimate,FALSE,,numeric
MSinceOldestTradeOpen,FALSE,,numeric
MSinceMostRecentTradeOpen,FALSE,,numeric
AverageMInFile,FALSE,,numeric
NumSatisfactoryTrades,FALSE,,numeric
NumTrades60Ever2DerogPubRec,FALSE,,numeric
NumTrades90Ever2DerogPubRec,FALSE,,numeric
PercentTradesNeverDelq,FALSE,,numeric
MSinceMostRecentDelq,FALSE,,numeric
MaxDelq2PublicRecLast12M,FALSE,,numeric
MaxDelqEver,FALSE,,numeric
NumTotalTrades,FALSE,,numeric
NumTradesOpeninLast12M,FALSE,,numeric
PercentInstallTrades,FALSE,,numeric
MSinceMostRecentInqexcl7days,FALSE,,numeric
NumInqLast6M,FALSE,,numeric
NumInqLast6Mexcl7days,FALSE,,numeric
NetFractionRevolvingBurden,FALSE,,numeric
NetFractionInstallBurden,FALSE,,numeric
NumRevolvingTradesWBalance,FALSE,,numeric
NumInstallTradesWBalance,FALSE,,numeric
NumBank2NatlTradesWHighUtilization,FALSE,,numeric
PercentTradesWBalance,FALSE,,numeric
