NotSeriousDlqin2yrs,age,NumberOfDependents,HasHistoryOfLatePayment,HistoricalDebtRatioInLastYear,MaxMonthlyOpenLinesOfCreditGeq5,MaxUtilizationOfUnsecuredLinesGeq10K,MaxMonthlyIncomeGeq5K
-1.0,45.0,2.0,1.0,0.8029821290000001,1.0,0.0,1.0
1.0,40.0,1.0,0.0,0.121876201,0.0,0.0,0.0
1.0,38.0,0.0,1.0,0.085113375,0.0,0.0,0.0
1.0,30.0,0.0,0.0,0.036049682,1.0,0.0,0.0
1.0,49.0,0.0,1.0,0.024925695,1.0,0.0,1.0
1.0,74.0,1.0,0.0,0.375606969,0.0,0.0,0.0
1.0,39.0,0.0,0.0,0.209940017,1.0,0.0,0.0
1.0,57.0,2.0,0.0,0.606290901,1.0,0.0,1.0
1.0,30.0,0.0,0.0,0.30947621,1.0,0.0,0.0
1.0,51.0,2.0,0.0,0.53152876,1.0,0.0,1.0
1.0,46.0,2.0,0.0,0.298354075,1.0,0.0,1.0
-1.0,40.0,2.0,1.0,0.3829647470000001,1.0,0.0,1.0
1.0,76.0,0.0,0.0,477.0,1.0,0.0,0.0
1.0,64.0,2.0,0.0,0.209891754,1.0,0.0,1.0
1.0,53.0,0.0,0.0,0.18827406,1.0,0.0,1.0
1.0,43.0,2.0,0.0,0.527887839,1.0,0.0,0.0
1.0,25.0,0.0,0.0,0.065868263,0.0,0.0,0.0
1.0,43.0,0.0,0.0,0.430046338,1.0,0.0,1.0
-1.0,38.0,2.0,0.0,0.475841386,1.0,0.0,0.0
1.0,39.0,0.0,0.0,0.241103559,0.0,0.0,0.0
1.0,32.0,0.0,0.0,0.085512189,1.0,0.0,1.0
1.0,58.0,0.0,0.0,0.241621845,1.0,0.0,0.0
-1.0,50.0,1.0,0.0,1.595253368,1.0,0.0,0.0
1.0,58.0,0.0,0.0,0.097672186,1.0,0.0,1.0
1.0,69.0,1.0,0.0,0.042383047,1.0,0.0,0.0
1.0,24.0,0.0,0.0,0.011761247,0.0,0.0,0.0
1.0,58.0,0.0,1.0,0.436102527,1.0,0.0,1.0
1.0,28.0,0.0,1.0,0.155201143,1.0,0.0,0.0
1.0,24.0,0.0,0.0,0.472703063,0.0,0.0,0.0
1.0,57.0,0.0,0.0,0.313812313,1.0,0.0,1.0
1.0,42.0,0.0,1.0,0.257731959,1.0,0.0,0.0
1.0,64.0,0.0,0.0,0.073538769,1.0,0.0,1.0
1.0,50.0,1.0,1.0,0.567858035,1.0,0.0,0.0
1.0,75.0,1.0,1.0,0.134078212,0.0,0.0,0.0
1.0,26.0,0.0,0.0,0.00999001,0.0,0.0,0.0
1.0,52.0,0.0,0.0,0.8083404740000001,1.0,0.0,0.0
1.0,41.0,0.0,1.0,0.539554464,1.0,0.0,1.0
1.0,31.0,1.0,0.0,0.048211004,0.0,0.0,1.0
1.0,28.0,1.0,0.0,0.17012561399999998,0.0,0.0,0.0
1.0,68.0,0.0,0.0,1687.5,1.0,0.0,0.0
1.0,70.0,2.0,0.0,0.177787036,1.0,0.0,1.0
1.0,62.0,0.0,0.0,0.011167837,0.0,0.0,0.0
1.0,31.0,0.0,0.0,0.689370485,1.0,0.0,0.0
1.0,38.0,2.0,0.0,0.393662026,1.0,0.0,1.0
1.0,70.0,0.0,1.0,0.256339661,1.0,0.0,1.0
1.0,73.0,0.0,1.0,3095.0,1.0,0.0,0.0
-1.0,31.0,1.0,0.0,0.824725092,1.0,0.0,0.0
1.0,51.0,0.0,0.0,0.306381499,1.0,0.0,1.0
1.0,29.0,0.0,0.0,0.008064515999999999,0.0,0.0,0.0
1.0,55.0,0.0,0.0,0.073147745,1.0,0.0,1.0
1.0,46.0,1.0,1.0,0.016921775,1.0,0.0,1.0
1.0,64.0,0.0,0.0,0.35125893700000005,1.0,0.0,0.0
1.0,35.0,2.0,0.0,0.261609907,1.0,0.0,1.0
1.0,58.0,0.0,0.0,0.241135663,1.0,0.0,1.0
1.0,69.0,0.0,0.0,0.00803428,0.0,0.0,1.0
1.0,46.0,2.0,0.0,1.051397656,1.0,0.0,0.0
1.0,60.0,0.0,0.0,0.549877805,1.0,0.0,0.0
1.0,67.0,0.0,0.0,0.540983607,0.0,0.0,0.0
1.0,55.0,1.0,1.0,0.316416365,1.0,0.0,1.0
1.0,27.0,0.0,1.0,0.6810457520000001,0.0,0.0,0.0
1.0,31.0,2.0,1.0,0.111444278,1.0,0.0,0.0
1.0,64.0,3.0,0.0,0.16106176,1.0,0.0,1.0
1.0,36.0,1.0,0.0,0.262611807,1.0,0.0,1.0
1.0,56.0,0.0,1.0,0.369590815,1.0,0.0,1.0
1.0,31.0,1.0,0.0,3162.0,1.0,0.0,0.0
-1.0,49.0,3.0,1.0,0.182881653,1.0,0.0,1.0
1.0,36.0,3.0,0.0,0.116614347,1.0,0.0,1.0
1.0,29.0,0.0,0.0,0.694646949,1.0,0.0,0.0
1.0,37.0,0.0,0.0,0.074155949,1.0,0.0,0.0
1.0,69.0,1.0,0.0,0.270448637,1.0,0.0,1.0
1.0,41.0,2.0,0.0,2.797698945,1.0,0.0,0.0
1.0,52.0,1.0,0.0,0.111131623,1.0,0.0,1.0
1.0,66.0,0.0,0.0,0.208842479,0.0,0.0,0.0
1.0,53.0,2.0,0.0,2.604510673,1.0,0.0,1.0
1.0,56.0,0.0,0.0,0.492021814,1.0,0.0,0.0
1.0,31.0,0.0,0.0,0.395031809,1.0,0.0,0.0
1.0,58.0,1.0,0.0,0.316144874,1.0,0.0,0.0
1.0,64.0,0.0,1.0,0.004061230999999999,1.0,0.0,0.0
-1.0,45.0,2.0,0.0,0.591477634,1.0,0.0,0.0
1.0,60.0,0.0,0.0,0.4872889970000001,1.0,0.0,0.0
1.0,51.0,0.0,0.0,15466.0,1.0,0.0,0.0
1.0,83.0,0.0,0.0,0.123797734,1.0,0.0,1.0
1.0,34.0,1.0,0.0,0.368403802,0.0,0.0,0.0
1.0,44.0,0.0,0.0,0.51241535,1.0,0.0,0.0
1.0,37.0,0.0,1.0,0.288417167,1.0,0.0,1.0
1.0,57.0,0.0,0.0,0.280664917,1.0,0.0,1.0
1.0,32.0,0.0,0.0,0.4805239570000001,1.0,0.0,0.0
1.0,75.0,0.0,0.0,0.006799093000000001,0.0,0.0,1.0
1.0,34.0,0.0,0.0,0.32591852,1.0,0.0,0.0
1.0,52.0,0.0,0.0,0.138238573,0.0,0.0,0.0
1.0,44.0,1.0,0.0,0.299246282,1.0,0.0,0.0
1.0,57.0,0.0,0.0,0.258939285,1.0,0.0,1.0
1.0,46.0,3.0,0.0,0.026235802000000003,1.0,0.0,1.0
1.0,80.0,0.0,0.0,0.0034787790000000004,1.0,0.0,1.0
1.0,32.0,1.0,0.0,0.519493502,1.0,0.0,0.0
1.0,62.0,0.0,0.0,0.664221287,1.0,0.0,1.0
1.0,47.0,2.0,0.0,0.009748781,0.0,0.0,1.0
1.0,58.0,0.0,0.0,1.3826291080000002,1.0,0.0,0.0
1.0,52.0,0.0,0.0,0.023993145,0.0,0.0,0.0
1.0,68.0,1.0,0.0,0.108089191,1.0,0.0,1.0
1.0,39.0,3.0,1.0,0.384441575,1.0,0.0,0.0
1.0,46.0,0.0,0.0,0.149103029,1.0,0.0,1.0
1.0,44.0,1.0,0.0,1.243362832,1.0,0.0,0.0
1.0,68.0,0.0,0.0,0.12290366,1.0,0.0,1.0
1.0,31.0,0.0,0.0,0.123752495,0.0,0.0,0.0
1.0,34.0,0.0,0.0,0.297933792,1.0,0.0,0.0
1.0,67.0,0.0,0.0,0.239507959,1.0,0.0,0.0
1.0,58.0,4.0,1.0,0.366545247,1.0,0.0,1.0
1.0,58.0,0.0,0.0,0.63332301,1.0,0.0,0.0
1.0,61.0,0.0,0.0,0.2226598,1.0,0.0,0.0
1.0,59.0,0.0,0.0,0.218854341,1.0,0.0,1.0
1.0,36.0,0.0,0.0,0.266394467,1.0,0.0,1.0
1.0,59.0,0.0,0.0,0.35169962200000005,1.0,0.0,0.0
1.0,77.0,0.0,0.0,0.001998002,0.0,0.0,0.0
1.0,48.0,0.0,0.0,0.517468688,1.0,0.0,0.0
1.0,81.0,1.0,0.0,0.086482558,1.0,0.0,0.0
1.0,51.0,0.0,0.0,0.100920343,1.0,0.0,0.0
1.0,53.0,0.0,0.0,0.199647533,1.0,0.0,1.0
1.0,56.0,2.0,0.0,1.065901518,1.0,0.0,0.0
1.0,63.0,1.0,0.0,1.129227053,1.0,0.0,0.0
1.0,55.0,0.0,0.0,0.112051635,1.0,0.0,1.0
1.0,54.0,1.0,0.0,0.315983758,1.0,0.0,1.0
1.0,55.0,0.0,0.0,0.323088235,1.0,0.0,1.0
1.0,53.0,3.0,0.0,0.534027778,1.0,0.0,1.0
1.0,31.0,0.0,0.0,0.34359379100000004,1.0,0.0,0.0
1.0,38.0,4.0,0.0,0.43369976,1.0,0.0,1.0
1.0,40.0,2.0,0.0,0.452363811,1.0,0.0,1.0
1.0,48.0,0.0,1.0,0.427882174,1.0,0.0,0.0
1.0,50.0,3.0,0.0,0.7480719790000001,1.0,0.0,0.0
1.0,34.0,0.0,0.0,0.025911708,0.0,0.0,0.0
1.0,48.0,5.0,1.0,0.370876375,1.0,0.0,0.0
1.0,57.0,1.0,1.0,0.655812625,1.0,0.0,0.0
1.0,30.0,1.0,0.0,0.315171207,1.0,0.0,0.0
1.0,28.0,0.0,0.0,0.144616356,1.0,0.0,0.0
1.0,36.0,1.0,0.0,0.563752087,1.0,0.0,1.0
1.0,60.0,0.0,0.0,0.412979783,1.0,0.0,1.0
1.0,58.0,4.0,0.0,0.342971419,1.0,0.0,1.0
1.0,49.0,0.0,0.0,0.801999355,1.0,0.0,0.0
