header,is_outcome,is_group_attribute,type
is_human,TRUE,,boolean
user_tweeted,FALSE,,numeric
user_retweeted,FALSE,,numeric
user_favourited,FALSE,,numeric
user_replied,FALSE,,numeric
likes_per_tweet,FALSE,,numeric
retweets_per_tweet,FALSE,,numeric
lists_per_user,FALSE,,numeric
follower_friend_ratio,FALSE,,numeric
tweet_frequency,FALSE,,numeric
favourite_tweet_ratio,FALSE,,numeric
age_of_account_in_days,FALSE,,numeric
sources_count,FALSE,,numeric
urls_count,FALSE,,numeric
cdn_content_in_kb,FALSE,,numeric
source_other,FALSE,,numeric
source_web,FALSE,,numeric
source_mobile,FALSE,,numeric
source_app,FALSE,,numeric
source_automation,FALSE,,numeric
source_branding,FALSE,,numeric
source_news,FALSE,,numeric
